cell_id,collection_day_id,zone_id,location_category,network_condition,workload_profile,planned_duration_seconds,session_mode,date_token,status
day_01_zone_a_wifi_normal_learn,day_01,zone_a,library_or_community_indoor,wifi_normal,learn,300,PILOT,PENDING_USER_DATE_1,pending_design_approval
day_01_zone_a_wifi_normal_create,day_01,zone_a,library_or_community_indoor,wifi_normal,create,300,PILOT,PENDING_USER_DATE_1,pending_design_approval
day_01_zone_a_wifi_normal_sense,day_01,zone_a,library_or_community_indoor,wifi_normal,sense,300,PILOT,PENDING_USER_DATE_1,pending_design_approval
day_01_zone_a_wifi_degraded_learn,day_01,zone_a,library_or_community_indoor,wifi_degraded,learn,300,PILOT,PENDING_USER_DATE_1,pending_design_approval
day_01_zone_a_wifi_degraded_create,day_01,zone_a,library_or_community_indoor,wifi_degraded,create,300,PILOT,PENDING_USER_DATE_1,pending_design_approval
day_01_zone_a_wifi_degraded_sense,day_01,zone_a,library_or_community_indoor,wifi_degraded,sense,300,PILOT,PENDING_USER_DATE_1,pending_design_approval
day_01_zone_b_wifi_normal_learn,day_01,zone_b,campus_or_office_indoor,wifi_normal,learn,300,PILOT,PENDING_USER_DATE_1,pending_design_approval
day_01_zone_b_wifi_normal_create,day_01,zone_b,campus_or_office_indoor,wifi_normal,create,300,PILOT,PENDING_USER_DATE_1,pending_design_approval
day_01_zone_b_wifi_normal_sense,day_01,zone_b,campus_or_office_indoor,wifi_normal,sense,300,PILOT,PENDING_USER_DATE_1,pending_design_approval
day_01_zone_b_wifi_degraded_learn,day_01,zone_b,campus_or_office_indoor,wifi_degraded,learn,300,PILOT,PENDING_USER_DATE_1,pending_design_approval
day_01_zone_b_wifi_degraded_create,day_01,zone_b,campus_or_office_indoor,wifi_degraded,create,300,PILOT,PENDING_USER_DATE_1,pending_design_approval
day_01_zone_b_wifi_degraded_sense,day_01,zone_b,campus_or_office_indoor,wifi_degraded,sense,300,PILOT,PENDING_USER_DATE_1,pending_design_approval
day_01_zone_c_wifi_normal_learn,day_01,zone_c,home_or_private_indoor,wifi_normal,learn,300,PILOT,PENDING_USER_DATE_1,pending_design_approval
day_01_zone_c_wifi_normal_create,day_01,zone_c,home_or_private_indoor,wifi_normal,create,300,PILOT,PENDING_USER_DATE_1,pending_design_approval
day_01_zone_c_wifi_normal_sense,day_01,zone_c,home_or_private_indoor,wifi_normal,sense,300,PILOT,PENDING_USER_DATE_1,pending_design_approval
day_01_zone_c_wifi_degraded_learn,day_01,zone_c,home_or_private_indoor,wifi_degraded,learn,300,PILOT,PENDING_USER_DATE_1,pending_design_approval
day_01_zone_c_wifi_degraded_create,day_01,zone_c,home_or_private_indoor,wifi_degraded,create,300,PILOT,PENDING_USER_DATE_1,pending_design_approval
day_01_zone_c_wifi_degraded_sense,day_01,zone_c,home_or_private_indoor,wifi_degraded,sense,300,PILOT,PENDING_USER_DATE_1,pending_design_approval
day_02_zone_a_wifi_normal_learn,day_02,zone_a,library_or_community_indoor,wifi_normal,learn,300,PILOT,PENDING_USER_DATE_2,pending_design_approval
day_02_zone_a_wifi_normal_create,day_02,zone_a,library_or_community_indoor,wifi_normal,create,300,PILOT,PENDING_USER_DATE_2,pending_design_approval
day_02_zone_a_wifi_normal_sense,day_02,zone_a,library_or_community_indoor,wifi_normal,sense,300,PILOT,PENDING_USER_DATE_2,pending_design_approval
day_02_zone_a_wifi_degraded_learn,day_02,zone_a,library_or_community_indoor,wifi_degraded,learn,300,PILOT,PENDING_USER_DATE_2,pending_design_approval
day_02_zone_a_wifi_degraded_create,day_02,zone_a,library_or_community_indoor,wifi_degraded,create,300,PILOT,PENDING_USER_DATE_2,pending_design_approval
day_02_zone_a_wifi_degraded_sense,day_02,zone_a,library_or_community_indoor,wifi_degraded,sense,300,PILOT,PENDING_USER_DATE_2,pending_design_approval
day_02_zone_b_wifi_normal_learn,day_02,zone_b,campus_or_office_indoor,wifi_normal,learn,300,PILOT,PENDING_USER_DATE_2,pending_design_approval
day_02_zone_b_wifi_normal_create,day_02,zone_b,campus_or_office_indoor,wifi_normal,create,300,PILOT,PENDING_USER_DATE_2,pending_design_approval
day_02_zone_b_wifi_normal_sense,day_02,zone_b,campus_or_office_indoor,wifi_normal,sense,300,PILOT,PENDING_USER_DATE_2,pending_design_approval
day_02_zone_b_wifi_degraded_learn,day_02,zone_b,campus_or_office_indoor,wifi_degraded,learn,300,PILOT,PENDING_USER_DATE_2,pending_design_approval
day_02_zone_b_wifi_degraded_create,day_02,zone_b,campus_or_office_indoor,wifi_degraded,create,300,PILOT,PENDING_USER_DATE_2,pending_design_approval
day_02_zone_b_wifi_degraded_sense,day_02,zone_b,campus_or_office_indoor,wifi_degraded,sense,300,PILOT,PENDING_USER_DATE_2,pending_design_approval
day_02_zone_c_wifi_normal_learn,day_02,zone_c,home_or_private_indoor,wifi_normal,learn,300,PILOT,PENDING_USER_DATE_2,pending_design_approval
day_02_zone_c_wifi_normal_create,day_02,zone_c,home_or_private_indoor,wifi_normal,create,300,PILOT,PENDING_USER_DATE_2,pending_design_approval
day_02_zone_c_wifi_normal_sense,day_02,zone_c,home_or_private_indoor,wifi_normal,sense,300,PILOT,PENDING_USER_DATE_2,pending_design_approval
day_02_zone_c_wifi_degraded_learn,day_02,zone_c,home_or_private_indoor,wifi_degraded,learn,300,PILOT,PENDING_USER_DATE_2,pending_design_approval
day_02_zone_c_wifi_degraded_create,day_02,zone_c,home_or_private_indoor,wifi_degraded,create,300,PILOT,PENDING_USER_DATE_2,pending_design_approval
day_02_zone_c_wifi_degraded_sense,day_02,zone_c,home_or_private_indoor,wifi_degraded,sense,300,PILOT,PENDING_USER_DATE_2,pending_design_approval
day_03_zone_a_wifi_normal_learn,day_03,zone_a,library_or_community_indoor,wifi_normal,learn,300,PILOT,PENDING_USER_DATE_3,pending_design_approval
day_03_zone_a_wifi_normal_create,day_03,zone_a,library_or_community_indoor,wifi_normal,create,300,PILOT,PENDING_USER_DATE_3,pending_design_approval
day_03_zone_a_wifi_normal_sense,day_03,zone_a,library_or_community_indoor,wifi_normal,sense,300,PILOT,PENDING_USER_DATE_3,pending_design_approval
day_03_zone_a_wifi_degraded_learn,day_03,zone_a,library_or_community_indoor,wifi_degraded,learn,300,PILOT,PENDING_USER_DATE_3,pending_design_approval
day_03_zone_a_wifi_degraded_create,day_03,zone_a,library_or_community_indoor,wifi_degraded,create,300,PILOT,PENDING_USER_DATE_3,pending_design_approval
day_03_zone_a_wifi_degraded_sense,day_03,zone_a,library_or_community_indoor,wifi_degraded,sense,300,PILOT,PENDING_USER_DATE_3,pending_design_approval
day_03_zone_b_wifi_normal_learn,day_03,zone_b,campus_or_office_indoor,wifi_normal,learn,300,PILOT,PENDING_USER_DATE_3,pending_design_approval
day_03_zone_b_wifi_normal_create,day_03,zone_b,campus_or_office_indoor,wifi_normal,create,300,PILOT,PENDING_USER_DATE_3,pending_design_approval
day_03_zone_b_wifi_normal_sense,day_03,zone_b,campus_or_office_indoor,wifi_normal,sense,300,PILOT,PENDING_USER_DATE_3,pending_design_approval
day_03_zone_b_wifi_degraded_learn,day_03,zone_b,campus_or_office_indoor,wifi_degraded,learn,300,PILOT,PENDING_USER_DATE_3,pending_design_approval
day_03_zone_b_wifi_degraded_create,day_03,zone_b,campus_or_office_indoor,wifi_degraded,create,300,PILOT,PENDING_USER_DATE_3,pending_design_approval
day_03_zone_b_wifi_degraded_sense,day_03,zone_b,campus_or_office_indoor,wifi_degraded,sense,300,PILOT,PENDING_USER_DATE_3,pending_design_approval
day_03_zone_c_wifi_normal_learn,day_03,zone_c,home_or_private_indoor,wifi_normal,learn,300,PILOT,PENDING_USER_DATE_3,pending_design_approval
day_03_zone_c_wifi_normal_create,day_03,zone_c,home_or_private_indoor,wifi_normal,create,300,PILOT,PENDING_USER_DATE_3,pending_design_approval
day_03_zone_c_wifi_normal_sense,day_03,zone_c,home_or_private_indoor,wifi_normal,sense,300,PILOT,PENDING_USER_DATE_3,pending_design_approval
day_03_zone_c_wifi_degraded_learn,day_03,zone_c,home_or_private_indoor,wifi_degraded,learn,300,PILOT,PENDING_USER_DATE_3,pending_design_approval
day_03_zone_c_wifi_degraded_create,day_03,zone_c,home_or_private_indoor,wifi_degraded,create,300,PILOT,PENDING_USER_DATE_3,pending_design_approval
day_03_zone_c_wifi_degraded_sense,day_03,zone_c,home_or_private_indoor,wifi_degraded,sense,300,PILOT,PENDING_USER_DATE_3,pending_design_approval
